Project Name,Street Name,Postal District,Property Type,No of Bedroom,Monthly Rent ($),Floor Area (SQM),Floor Area (SQFT),Lease Commencement Date
TURQUOISE,COVE DRIVE,04,Non-Landed Properties,3,"10,500",220 to 230,"2,400 to 2,500",May-26
THE VERMONT ON CAIRNHILL,CAIRNHILL RISE,09,Non-Landed Properties,2,"5,000",80 to 90,800 to 900,May-26
VIZ AT HOLLAND,QUEENSWAY,10,Non-Landed Properties,2,"4,500",80 to 90,800 to 900,May-26
ECO SANCTUARY,CHESTNUT AVENUE,23,Non-Landed Properties,2,"3,700",60 to 70,700 to 800,May-26
CENTRAL GROVE,GEYLANG EAST AVENUE 1,14,Non-Landed Properties,3,"4,600",110 to 120,"1,200 to 1,300",May-26
THE CLIFT,MCCALLUM STREET,01,Non-Landed Properties,1,"4,000",40 to 50,500 to 600,May-26
COMPASS HEIGHTS,SENGKANG SQUARE,19,Non-Landed Properties,3,"4,850",120 to 130,"1,200 to 1,300",May-26
MARGARET VILLE,MARGARET DRIVE,03,Non-Landed Properties,2,"4,500",60 to 70,600 to 700,May-26
CENTRAL GREEN CONDOMINIUM,JALAN MEMBINA,03,Non-Landed Properties,3,"6,200",130 to 140,"1,400 to 1,500",May-26
DAKOTA RESIDENCES,DAKOTA CRESCENT,14,Non-Landed Properties,4,"8,200",170 to 180,"1,800 to 1,900",May-26
CITYLIGHTS,JELLICOE ROAD,08,Non-Landed Properties,1,"4,250",60 to 70,600 to 700,May-26
BOTANNIA,WEST COAST PARK,05,Non-Landed Properties,3,"5,200",110 to 120,"1,200 to 1,300",May-26
HILLINGTON GREEN,HILLVIEW AVENUE,23,Non-Landed Properties,3,"5,100",120 to 130,"1,300 to 1,400",May-26
LEONIE SUITES,LEONIE HILL,09,Non-Landed Properties,2,"4,990",80 to 90,"900 to 1,000",May-26
COTE D'AZUR,MARINE PARADE ROAD,15,Non-Landed Properties,1,"4,200",70 to 80,800 to 900,May-26
BOTANIQUE AT BARTLEY,UPPER PAYA LEBAR ROAD,19,Non-Landed Properties,2,"3,550",60 to 70,600 to 700,May-26
BEDOK RESIDENCES,BEDOK NORTH DRIVE,16,Non-Landed Properties,1,"3,300",50 to 60,500 to 600,May-26
MARGARET VILLE,MARGARET DRIVE,03,Non-Landed Properties,1,"3,400",40 to 50,400 to 500,May-26
THE LANAI,HILLVIEW AVENUE,23,Non-Landed Properties,3,"4,500",90 to 100,"1,000 to 1,100",May-26
THE BOTANY AT DAIRY FARM,DAIRY FARM WALK,23,Non-Landed Properties,3,"4,750",90 to 100,"1,000 to 1,100",May-26
DUO RESIDENCES,FRASER STREET,07,Non-Landed Properties,1,"4,600",60 to 70,700 to 800,May-26
RIVERFRONT RESIDENCES,HOUGANG AVENUE 7,19,Non-Landed Properties,2,"3,100",50 to 60,600 to 700,May-26
WATERTOWN,PUNGGOL CENTRAL,19,Non-Landed Properties,2,"3,800",70 to 80,800 to 900,May-26
NORTHVALE,CHOA CHU KANG LOOP,23,Non-Landed Properties,2,"3,800",100 to 110,"1,000 to 1,100",May-26
THE RESIDENCES AT W SINGAPORE SENTOSA COVE,OCEAN WAY,04,Non-Landed Properties,2,"7,350",110 to 120,"1,200 to 1,300",May-26
ALTEZ,ENGGOR STREET,02,Non-Landed Properties,1,"5,500",70 to 80,800 to 900,May-26
GRANDEUR 8,ANG MO KIO CENTRAL 3,20,Non-Landed Properties,3,"4,600",110 to 120,"1,100 to 1,200",May-26
NADIA MANSIONS,AH HOOD ROAD,12,Non-Landed Properties,4,"6,000",210 to 220,"2,200 to 2,300",May-26
LA FLEUR,LORONG 26 GEYLANG,14,Non-Landed Properties,1,"2,600",30 to 40,400 to 500,May-26
RV RESIDENCES,RIVER VALLEY ROAD,10,Non-Landed Properties,1,"3,500",30 to 40,400 to 500,May-26
AMO RESIDENCE,ANG MO KIO RISE,20,Non-Landed Properties,NA,"3,450",60 to 70,600 to 700,May-26
RIDGEWOOD,MOUNT SINAI DRIVE,10,Non-Landed Properties,3,"5,900",160 to 170,"1,700 to 1,800",May-26
KI RESIDENCES AT BROOKVALE,BROOKVALE DRIVE,21,Non-Landed Properties,3,"5,000",80 to 90,"900 to 1,000",May-26
CITYLIGHTS,JELLICOE ROAD,08,Non-Landed Properties,2,"5,100",80 to 90,"900 to 1,000",May-26
NATHAN SUITES,NATHAN ROAD,10,Non-Landed Properties,3,"10,600",160 to 170,"1,700 to 1,800",May-26
KOVAN MELODY,KOVAN ROAD,19,Non-Landed Properties,2,"3,950",80 to 90,"900 to 1,000",May-26
JUI RESIDENCES,SERANGOON ROAD,12,Non-Landed Properties,3,"5,100",90 to 100,"1,000 to 1,100",May-26
HILLCREST ARCADIA,ARCADIA ROAD,11,Non-Landed Properties,1,"3,600",80 to 90,"900 to 1,000",May-26
RV RESIDENCES,RIVER VALLEY ROAD,10,Non-Landed Properties,1,"3,300",30 to 40,400 to 500,May-26
26 NEWTON,NEWTON ROAD,11,Non-Landed Properties,2,"3,450",50 to 60,500 to 600,May-26
MARINA BAY RESIDENCES,MARINA BOULEVARD,01,Non-Landed Properties,1,"6,500",60 to 70,700 to 800,May-26
EASTPOINT GREEN,SIMEI STREET 3,18,Non-Landed Properties,2,"4,050",90 to 100,"900 to 1,000",May-26
PERFECT TEN,BUKIT TIMAH ROAD,10,Non-Landed Properties,3,"10,000",110 to 120,"1,200 to 1,300",May-26
RICHMOND PARK,BIDEFORD ROAD,09,Non-Landed Properties,1,"5,300",90 to 100,"1,000 to 1,100",May-26
J GATEWAY,GATEWAY DRIVE,22,Non-Landed Properties,1,"3,600",40 to 50,500 to 600,May-26
NORTH PARK RESIDENCES,YISHUN CENTRAL 1,27,Non-Landed Properties,NA,"2,700",40 to 50,400 to 500,May-26
THE TRE VER,POTONG PASIR AVENUE 1,13,Non-Landed Properties,1,"3,100",40 to 50,400 to 500,May-26
AFFINITY AT SERANGOON,SERANGOON NORTH AVENUE 1,19,Non-Landed Properties,1,"3,000",50 to 60,600 to 700,May-26
SIMS URBAN OASIS,SIMS DRIVE,14,Non-Landed Properties,2,"4,000",60 to 70,600 to 700,May-26
38 I SUITES,IPOH LANE,15,Non-Landed Properties,2,"3,300",40 to 50,500 to 600,May-26
GRANDEUR PARK RESIDENCES,BEDOK SOUTH AVENUE 3,16,Non-Landed Properties,3,"4,500",80 to 90,800 to 900,May-26
ALTEZ,ENGGOR STREET,02,Non-Landed Properties,1,"5,800",40 to 50,500 to 600,May-26
JEWEL @ BUANGKOK,COMPASSVALE BOW,19,Non-Landed Properties,2,"3,500",60 to 70,700 to 800,May-26
GEM RESIDENCES,LORONG 5 TOA PAYOH,12,Non-Landed Properties,1,"3,000",40 to 50,400 to 500,May-26
ONE BERNAM,BERNAM STREET,02,Non-Landed Properties,2,"6,000",70 to 80,800 to 900,May-26
DAKOTA RESIDENCES,DAKOTA CRESCENT,14,Non-Landed Properties,2,"5,400",90 to 100,"1,000 to 1,100",May-26
LEICESTER SUITES,LEICESTER ROAD,13,Non-Landed Properties,1,"2,800",40 to 50,400 to 500,May-26
MARINA ONE RESIDENCES,MARINA WAY,01,Non-Landed Properties,1,"4,400",70 to 80,700 to 800,May-26
24 ONE RESIDENCES,PASIR PANJANG ROAD,05,Non-Landed Properties,2,"3,500",50 to 60,600 to 700,May-26
THE VIRIDIAN,JALAN AMPAS,12,Non-Landed Properties,1,"2,900",40 to 50,500 to 600,May-26
THE SEA VIEW,AMBER ROAD,15,Non-Landed Properties,3,"6,800",110 to 120,"1,200 to 1,300",May-26
WATERBANK AT DAKOTA,DAKOTA CRESCENT,14,Non-Landed Properties,1,"3,400",40 to 50,400 to 500,May-26
GRANDEUR PARK RESIDENCES,BEDOK SOUTH AVENUE 3,16,Non-Landed Properties,2,"3,750",60 to 70,600 to 700,May-26
MIDTOWN MODERN,TAN QUEE LAN STREET,07,Non-Landed Properties,4,"10,800",130 to 140,"1,400 to 1,500",May-26
REGENTVILLE,HOUGANG STREET 92,19,Non-Landed Properties,3,"3,500",100 to 110,"1,000 to 1,100",May-26
BUTTERWORTH 8,BUTTERWORTH LANE,15,Non-Landed Properties,3,"5,500",120 to 130,"1,300 to 1,400",May-26
YISHUN SAPPHIRE,CANBERRA DRIVE,27,Non-Landed Properties,3,"3,500",110 to 120,"1,100 to 1,200",May-26
SOUTHAVEN II,HINDHEDE WALK,21,Non-Landed Properties,1,"3,350",70 to 80,800 to 900,May-26
21 RICHARDS,RICHARDS AVENUE,19,Non-Landed Properties,1,"2,650",30 to 40,400 to 500,May-26
THE MAKENA,MEYER ROAD,15,Non-Landed Properties,3,"6,300",140 to 150,"1,500 to 1,600",May-26
WATERMARK ROBERTSON QUAY,RODYK STREET,09,Non-Landed Properties,2,"5,900",90 to 100,"1,000 to 1,100",May-26
FULCRUM,FORT ROAD,15,Non-Landed Properties,1,"3,500",40 to 50,400 to 500,May-26
SOLEIL @ SINARAN,SINARAN DRIVE,11,Non-Landed Properties,3,"9,000",130 to 140,"1,400 to 1,500",May-26
THE MAYFAIR,JURONG EAST STREET 32,22,Non-Landed Properties,3,"4,600",110 to 120,"1,100 to 1,200",May-26
THE REEF AT KING'S DOCK,HARBOURFRONT AVENUE,04,Non-Landed Properties,2,"5,300",60 to 70,600 to 700,May-26
ONE PEARL BANK,PEARL BANK,03,Non-Landed Properties,2,"5,400",60 to 70,600 to 700,May-26
THE HILLIER,HILLVIEW RISE,23,Non-Landed Properties,1,"3,200",50 to 60,600 to 700,May-26
ONE-NORTH RESIDENCES,ONE-NORTH GATEWAY,05,Non-Landed Properties,1,"3,200",50 to 60,500 to 600,May-26
SKY EVERTON,EVERTON ROAD,02,Non-Landed Properties,2,"4,400",60 to 70,600 to 700,May-26
LAKEHOLMZ,CORPORATION ROAD,22,Non-Landed Properties,3,"4,800",110 to 120,"1,200 to 1,300",May-26
FORESQUE RESIDENCES,PETIR ROAD,23,Non-Landed Properties,2,"3,400",60 to 70,700 to 800,May-26
PINETREE CONDOMINIUM,BALMORAL PARK,10,Non-Landed Properties,3,"4,500",100 to 110,"1,100 to 1,200",May-26
THE FORESTA @ MOUNT FABER,WISHART ROAD,04,Non-Landed Properties,2,"4,300",70 to 80,700 to 800,May-26
THE PALETTE,PASIR RIS GROVE,18,Non-Landed Properties,2,"3,200",70 to 80,700 to 800,May-26
BOONVIEW,MARYMOUNT TERRACE,20,Non-Landed Properties,1,"3,000",60 to 70,600 to 700,May-26
MANDARIN GARDENS,SIGLAP ROAD,15,Non-Landed Properties,3,"6,200",160 to 170,"1,700 to 1,800",May-26
SIMS GREEN,LORONG 27A GEYLANG,14,Non-Landed Properties,3,"5,600",150 to 160,"1,600 to 1,700",May-26
L'VIV,NEWTON ROAD,11,Non-Landed Properties,1,"3,900",50 to 60,600 to 700,May-26
ANGULLIA PARK RESIDENCES @ ORCHARD,CUSCADEN WALK,10,Non-Landed Properties,2,"5,300",80 to 90,"900 to 1,000",May-26
THE SAIL @ MARINA BAY,MARINA BOULEVARD,01,Non-Landed Properties,2,"6,000",80 to 90,800 to 900,May-26
COSTA RHU,RHU CROSS,15,Non-Landed Properties,2,"5,200",120 to 130,"1,300 to 1,400",May-26
CARIBBEAN AT KEPPEL BAY,KEPPEL BAY DRIVE,04,Non-Landed Properties,3,"7,600",120 to 130,"1,300 to 1,400",May-26
WILKIE STUDIO,WILKIE ROAD,09,Non-Landed Properties,3,"8,000",180 to 190,"1,900 to 2,000",May-26
CASHEW PARK CONDOMINIUM,CASHEW ROAD,23,Non-Landed Properties,3,"4,000",100 to 110,"1,100 to 1,200",May-26
NON-LANDED HOUSING DEVELOPMENT,SEMBAWANG ROAD,26,Non-Landed Properties,NA,"11,500",210 to 220,"2,300 to 2,400",May-26
LE SOMME,SOMME ROAD,08,Non-Landed Properties,1,"3,300",50 to 60,500 to 600,May-26
PASTORAL VIEW,BASSEIN ROAD,11,Non-Landed Properties,3,"5,150",110 to 120,"1,200 to 1,300",May-26
CELADON VIEW,JALAN LOYANG BESAR,17,Non-Landed Properties,3,"4,500",240 to 250,"2,600 to 2,700",May-26
CENTRAL GREEN CONDOMINIUM,JALAN MEMBINA,03,Non-Landed Properties,4,"7,500",170 to 180,"1,800 to 1,900",May-26
THE POIZ RESIDENCES,MEYAPPA CHETTIAR ROAD,13,Non-Landed Properties,1,"3,200",40 to 50,400 to 500,May-26
MARINA BAY RESIDENCES,MARINA BOULEVARD,01,Non-Landed Properties,1,"6,500",60 to 70,700 to 800,May-26
GRAND CHATEAU,JALAN RAJAWALI,21,Non-Landed Properties,3,"4,500",110 to 120,"1,200 to 1,300",May-26
CHANCERY COURT,DUNEARN ROAD,11,Non-Landed Properties,3,"6,800",180 to 190,"2,000 to 2,100",May-26
RIPPLE BAY,PASIR RIS LINK,18,Non-Landed Properties,1,"2,600",40 to 50,400 to 500,May-26
TREASURE AT TAMPINES,TAMPINES LANE,18,Non-Landed Properties,2,"3,800",60 to 70,600 to 700,May-26
D'LEEDON,LEEDON HEIGHTS,10,Non-Landed Properties,2,"6,750",100 to 110,"1,100 to 1,200",May-26
ORCHID PARK CONDOMINIUM,YISHUN STREET 81,27,Non-Landed Properties,3,"4,200",110 to 120,"1,200 to 1,300",May-26
WOODHAVEN,WOODGROVE AVENUE,25,Non-Landed Properties,3,"5,150",100 to 110,"1,100 to 1,200",May-26
LE NOUVEL ARDMORE,ARDMORE PARK,10,Non-Landed Properties,4,"38,000",360 to 370,"3,900 to 4,000",May-26
LE QUEST,BUKIT BATOK STREET 41,23,Non-Landed Properties,1,"2,700",40 to 50,400 to 500,May-26
LIVIA,PASIR RIS GROVE,18,Non-Landed Properties,3,"4,850",120 to 130,"1,300 to 1,400",May-26
PARK PLACE RESIDENCES AT PLQ,PAYA LEBAR ROAD,14,Non-Landed Properties,1,"3,800",40 to 50,400 to 500,May-26
TROPICANA CONDOMINIUM,JALAN TIGA RATUS,16,Non-Landed Properties,3,"4,300",150 to 160,"1,600 to 1,700",May-26
TURQUOISE,COVE DRIVE,04,Non-Landed Properties,4,"12,000",220 to 230,"2,400 to 2,500",May-26
BAYSHORE PARK,BAYSHORE ROAD,16,Non-Landed Properties,3,"4,100",100 to 110,"1,100 to 1,200",May-26
MONTEBLEU,MINBU ROAD,11,Non-Landed Properties,2,"4,000",70 to 80,800 to 900,May-26
COUNTRY ESQUIRE,LORONG PUNTONG,20,Non-Landed Properties,3,"3,700",110 to 120,"1,200 to 1,300",May-26
THE NEXUS,BUKIT TIMAH ROAD,21,Non-Landed Properties,4,"7,200",130 to 140,"1,400 to 1,500",May-26
DEVONSHIRE RESIDENCES,DEVONSHIRE ROAD,09,Non-Landed Properties,1,"3,450",40 to 50,500 to 600,May-26
SOMMERVILLE PARK,FARRER DRIVE,10,Non-Landed Properties,3,"5,650",120 to 130,"1,300 to 1,400",May-26
CHANCERY COURT,DUNEARN ROAD,11,Non-Landed Properties,3,"7,250",180 to 190,"2,000 to 2,100",May-26
MERA EAST,CHANGI ROAD,14,Non-Landed Properties,2,"3,400",80 to 90,800 to 900,May-26
ARDMORE II,ARDMORE PARK,10,Non-Landed Properties,4,"13,400",180 to 190,"2,000 to 2,100",May-26
V ON SHENTON,SHENTON WAY,01,Non-Landed Properties,2,"5,400",80 to 90,"900 to 1,000",May-26
PALM GARDENS,HONG SAN WALK,23,Non-Landed Properties,3,"3,750",110 to 120,"1,200 to 1,300",May-26
SEASTRAND,PASIR RIS LINK,18,Non-Landed Properties,NA,"2,450",50 to 60,500 to 600,May-26
LENTOR MODERN,LENTOR CENTRAL,26,Non-Landed Properties,2,"4,000",60 to 70,700 to 800,May-26
GRANGE 80,GRANGE ROAD,10,Non-Landed Properties,3,"6,200",120 to 130,"1,300 to 1,400",May-26
VALLEY PARK,RIVER VALLEY ROAD,10,Non-Landed Properties,2,"5,500",110 to 120,"1,200 to 1,300",May-26
VIVA VISTA,SOUTH BUONA VISTA ROAD,05,Non-Landed Properties,1,"2,900",30 to 40,300 to 400,May-26
AMBER PARK,AMBER GARDENS,15,Non-Landed Properties,2,"5,000",60 to 70,700 to 800,May-26
MELVILLE PARK,SIMEI STREET 1,18,Non-Landed Properties,3,"4,300",120 to 130,"1,300 to 1,400",May-26
QUEENS,STIRLING ROAD,03,Non-Landed Properties,2,"4,600",80 to 90,"900 to 1,000",May-26
THE SORRENTO,WEST COAST ROAD,05,Non-Landed Properties,3,"6,500",110 to 120,"1,200 to 1,300",May-26
ENG KONG GREEN,ENG KONG CRESCENT,21,Non-Landed Properties,2,"3,900",90 to 100,"1,000 to 1,100",May-26
NATURA@HILLVIEW,HILLVIEW TERRACE,23,Non-Landed Properties,2,"3,000",50 to 60,500 to 600,May-26
MIDTOWN RESIDENCES,UPPER SERANGOON ROAD,19,Non-Landed Properties,1,"2,800",40 to 50,400 to 500,May-26
THE CALROSE,YIO CHU KANG ROAD,26,Non-Landed Properties,3,"4,800",130 to 140,"1,400 to 1,500",May-26
THE OCEANFRONT @ SENTOSA COVE,OCEAN DRIVE,04,Non-Landed Properties,3,"7,200",160 to 170,"1,700 to 1,800",May-26
CAVENAGH COURT,CAVENAGH ROAD,09,Non-Landed Properties,2,"6,700",160 to 170,"1,800 to 1,900",May-26
NEWTON GEMS,NEWTON ROAD,11,Non-Landed Properties,1,"3,500",60 to 70,600 to 700,May-26
LA FLEUR,LORONG 26 GEYLANG,14,Non-Landed Properties,1,"2,500",30 to 40,400 to 500,May-26
HIGHLINE RESIDENCES,KIM TIAN ROAD,03,Non-Landed Properties,3,"5,900",100 to 110,"1,100 to 1,200",May-26
THE LANDMARK,CHIN SWEE ROAD,03,Non-Landed Properties,2,"4,500",60 to 70,600 to 700,May-26
MEADOWS @ PEIRCE,UPPER THOMSON ROAD,26,Non-Landed Properties,1,"2,900",50 to 60,600 to 700,May-26
QUEENS PEAK,DUNDEE ROAD,03,Non-Landed Properties,1,"3,800",40 to 50,400 to 500,May-26
CRAIG PLACE,CRAIG ROAD,02,Non-Landed Properties,1,"3,800",50 to 60,500 to 600,May-26
SEASIDE RESIDENCES,SIGLAP LINK,15,Non-Landed Properties,2,"4,400",70 to 80,700 to 800,May-26
VIVA,SUFFOLK WALK,11,Non-Landed Properties,3,"7,700",120 to 130,"1,300 to 1,400",May-26
DUO RESIDENCES,FRASER STREET,07,Non-Landed Properties,2,"6,500",90 to 100,"900 to 1,000",May-26
THE POIZ RESIDENCES,MEYAPPA CHETTIAR ROAD,13,Non-Landed Properties,2,"3,700",50 to 60,500 to 600,May-26
OASIS @ ELIAS,ELIAS ROAD,18,Non-Landed Properties,4,"4,900",130 to 140,"1,400 to 1,500",May-26
THE OXLEY,OXLEY RISE,09,Non-Landed Properties,1,"4,000",50 to 60,600 to 700,May-26
FOURTH AVENUE RESIDENCES,FOURTH AVENUE,10,Non-Landed Properties,2,"5,100",60 to 70,700 to 800,May-26
CITY GATE,BEACH ROAD,07,Non-Landed Properties,2,"3,300",70 to 80,700 to 800,May-26
HUME PARK I,HUME AVENUE,21,Non-Landed Properties,3,"3,750",80 to 90,"900 to 1,000",May-26
PARC ROSEWOOD,ROSEWOOD DRIVE,25,Non-Landed Properties,1,"2,200",40 to 50,400 to 500,May-26
MARTIN NO 38,MARTIN ROAD,09,Non-Landed Properties,2,"8,400",100 to 110,"1,100 to 1,200",May-26
MODA,EAST COAST ROAD,15,Non-Landed Properties,2,"4,750",90 to 100,"900 to 1,000",May-26
HIGH STREET CENTRE,NORTH BRIDGE ROAD,06,Non-Landed Properties,1,"5,361",40 to 50,500 to 600,May-26
COCO PALMS,PASIR RIS GROVE,18,Non-Landed Properties,1,"2,900",40 to 50,400 to 500,May-26
SKYPARK,ST. THOMAS WALK,09,Non-Landed Properties,3,"16,500",310 to 320,"3,300 to 3,400",May-26
PEOPLE'S PARK COMPLEX,PARK ROAD,01,Non-Landed Properties,3,"4,700",100 to 110,"1,100 to 1,200",May-26
CASA FLORA,SALAM WALK,16,Non-Landed Properties,3,"4,200",140 to 150,"1,500 to 1,600",May-26
V ON SHENTON,SHENTON WAY,01,Non-Landed Properties,NA,"3,400",40 to 50,400 to 500,May-26
NORTH PARK RESIDENCES,YISHUN CENTRAL 1,27,Non-Landed Properties,2,"4,000",60 to 70,600 to 700,May-26
URBAN VISTA,TANAH MERAH KECHIL LINK,16,Non-Landed Properties,2,"3,400",50 to 60,600 to 700,May-26
DEVONSHIRE RESIDENCES,DEVONSHIRE ROAD,09,Non-Landed Properties,1,"3,000",40 to 50,500 to 600,May-26
SKY EVERTON,EVERTON ROAD,02,Non-Landed Properties,2,"4,700",60 to 70,600 to 700,May-26
THE LINQ @ BEAUTY WORLD,UPPER BUKIT TIMAH ROAD,21,Non-Landed Properties,3,"5,000",70 to 80,700 to 800,May-26
ST THOMAS SUITES,ST. THOMAS WALK,09,Non-Landed Properties,3,"10,000",160 to 170,"1,800 to 1,900",May-26
RIPPLE BAY,PASIR RIS LINK,18,Non-Landed Properties,4,"5,600",110 to 120,"1,200 to 1,300",May-26
EDENZ SUITES,LORONG 28 GEYLANG,14,Non-Landed Properties,1,"2,300",40 to 50,400 to 500,May-26
LENTOR MODERN,LENTOR CENTRAL,26,Non-Landed Properties,3,"5,400",90 to 100,"900 to 1,000",May-26
PERFECT TEN,BUKIT TIMAH ROAD,10,Non-Landed Properties,2,"5,500",70 to 80,700 to 800,May-26
COSTA RHU,RHU CROSS,15,Non-Landed Properties,2,"4,500",90 to 100,"900 to 1,000",May-26
DAIRY FARM RESIDENCES,DAIRY FARM LANE,23,Non-Landed Properties,2,"3,550",60 to 70,700 to 800,May-26
SKY EVERTON,EVERTON ROAD,02,Non-Landed Properties,3,"5,600",80 to 90,"900 to 1,000",May-26
VALLEY PARK,RIVER VALLEY ROAD,10,Non-Landed Properties,2,"6,500",120 to 130,"1,300 to 1,400",May-26
RIVERFRONT RESIDENCES,HOUGANG AVENUE 7,19,Non-Landed Properties,1,"2,800",40 to 50,500 to 600,May-26
PARC OASIS,JURONG EAST AVENUE 1,22,Non-Landed Properties,3,"5,100",110 to 120,"1,200 to 1,300",May-26
GUILLEMARD EDGE,LORONG 30 GEYLANG,14,Non-Landed Properties,1,"2,800",40 to 50,400 to 500,May-26
MIDTOWN MODERN,TAN QUEE LAN STREET,07,Non-Landed Properties,1,"4,000",30 to 40,400 to 500,May-26
MAYSPRINGS,PETIR ROAD,23,Non-Landed Properties,3,"4,500",120 to 130,"1,300 to 1,400",May-26
J GATEWAY,GATEWAY DRIVE,22,Non-Landed Properties,2,"4,600",50 to 60,600 to 700,May-26
RIVERTREES RESIDENCES,FERNVALE CLOSE,28,Non-Landed Properties,2,"3,280",60 to 70,700 to 800,May-26
SIMS URBAN OASIS,SIMS DRIVE,14,Non-Landed Properties,3,"3,500",80 to 90,"900 to 1,000",May-26
CAIRNHILL NINE,CAIRNHILL ROAD,09,Non-Landed Properties,2,"8,000",90 to 100,"1,000 to 1,100",May-26
SAVANNAH CONDOPARK,SIMEI RISE,18,Non-Landed Properties,3,"4,350",110 to 120,"1,200 to 1,300",May-26
7 ON CHAPEL,CHAPEL ROAD,15,Non-Landed Properties,2,"4,500",70 to 80,700 to 800,May-26
THE SCOTTS TOWER,SCOTTS ROAD,09,Non-Landed Properties,1,"4,200",50 to 60,600 to 700,May-26
D'NEST,PASIR RIS GROVE,18,Non-Landed Properties,2,"3,200",70 to 80,700 to 800,May-26
STUDIOS @ MARNE,MARNE ROAD,08,Non-Landed Properties,NA,"2,800",40 to 50,500 to 600,May-26
ROBERTSON 100,ROBERTSON QUAY,09,Non-Landed Properties,2,"4,800",80 to 90,800 to 900,May-26
PALM ISLES,FLORA DRIVE,17,Non-Landed Properties,1,"2,400",40 to 50,500 to 600,May-26
THE ROCHESTER RESIDENCES,ROCHESTER DRIVE,05,Non-Landed Properties,1,"4,150",70 to 80,800 to 900,May-26
HILLINGTON GREEN,HILLVIEW AVENUE,23,Non-Landed Properties,2,"3,800",90 to 100,"900 to 1,000",May-26
COSMO,GUILLEMARD CRESCENT,14,Non-Landed Properties,1,"2,600",30 to 40,300 to 400,May-26
WESTCOVE CONDOMINIUM,WEST COAST CRESCENT,05,Non-Landed Properties,2,"4,100",120 to 130,"1,300 to 1,400",May-26
SEASONS VIEW,PEMIMPIN DRIVE,20,Non-Landed Properties,3,"4,600",100 to 110,"1,100 to 1,200",May-26
PARK INFINIA AT WEE NAM,LINCOLN ROAD,11,Non-Landed Properties,3,"8,450",130 to 140,"1,400 to 1,500",May-26
NON-LANDED HOUSING DEVELOPMENT,BALMORAL PARK,10,Non-Landed Properties,NA,"5,800",150 to 160,"1,600 to 1,700",May-26
FORETT@BUKIT TIMAH,TOH TUCK ROAD,21,Non-Landed Properties,2,"3,450",50 to 60,600 to 700,May-26
MONTVIEW,MOUNT SINAI DRIVE,10,Non-Landed Properties,4,"7,000",150 to 160,"1,700 to 1,800",May-26
ECO,BEDOK SOUTH AVENUE 3,16,Non-Landed Properties,1,"3,000",50 to 60,500 to 600,May-26
VISIONCREST,OXLEY RISE,09,Non-Landed Properties,2,"5,000",80 to 90,"900 to 1,000",May-26
PARC VERA,HOUGANG STREET 32,19,Non-Landed Properties,3,"4,300",100 to 110,"1,100 to 1,200",May-26
CAVENAGH LODGE,CAVENAGH ROAD,09,Non-Landed Properties,3,"5,550",120 to 130,"1,300 to 1,400",May-26
GEM RESIDENCES,LORONG 5 TOA PAYOH,12,Non-Landed Properties,3,"5,100",90 to 100,"1,000 to 1,100",May-26
DUO RESIDENCES,FRASER STREET,07,Non-Landed Properties,1,"4,500",60 to 70,600 to 700,May-26
PARC BOTANNIA,FERNVALE STREET,28,Non-Landed Properties,1,"2,900",40 to 50,500 to 600,May-26
NORMANTON PARK,NORMANTON PARK,05,Non-Landed Properties,1,"3,200",40 to 50,500 to 600,May-26
SEAHILL,WEST COAST CRESCENT,05,Non-Landed Properties,NA,"3,300",40 to 50,500 to 600,May-26
H2O RESIDENCES,FERNVALE LINK,28,Non-Landed Properties,3,"3,900",100 to 110,"1,000 to 1,100",May-26
BUKIT REGENCY,UPPER BUKIT TIMAH VIEW,21,Non-Landed Properties,NA,"4,900",130 to 140,"1,400 to 1,500",May-26
KATONG REGENCY,TANJONG KATONG ROAD,15,Non-Landed Properties,1,"3,700",50 to 60,500 to 600,May-26
COCO PALMS,PASIR RIS GROVE,18,Non-Landed Properties,3,"4,700",100 to 110,"1,000 to 1,100",May-26
MEADOWS @ PEIRCE,UPPER THOMSON ROAD,26,Non-Landed Properties,1,"3,000",50 to 60,600 to 700,May-26
THE LINE @ TANJONG RHU,TANJONG RHU ROAD,15,Non-Landed Properties,3,"5,500",80 to 90,800 to 900,May-26
STARVILLE,LENGKONG TIGA,14,Non-Landed Properties,3,"4,200",110 to 120,"1,200 to 1,300",May-26
KI RESIDENCES AT BROOKVALE,BROOKVALE DRIVE,21,Non-Landed Properties,3,"5,600",100 to 110,"1,100 to 1,200",May-26
KENT RIDGE HILL RESIDENCES,SOUTH BUONA VISTA ROAD,05,Non-Landed Properties,2,"4,500",70 to 80,700 to 800,May-26
VARSITY PARK CONDOMINIUM,WEST COAST ROAD,05,Non-Landed Properties,3,"6,200",130 to 140,"1,400 to 1,500",May-26
THE HORIZON,HOLT ROAD,10,Non-Landed Properties,3,"7,300",160 to 170,"1,700 to 1,800",May-26
BARTLEY RIDGE,MOUNT VERNON ROAD,13,Non-Landed Properties,1,"3,000",40 to 50,400 to 500,May-26
STARLIGHT SUITES,RIVER VALLEY CLOSE,09,Non-Landed Properties,1,"5,200",70 to 80,800 to 900,May-26
THE CLEMENT CANOPY,CLEMENTI AVENUE 1,05,Non-Landed Properties,3,"6,000",100 to 110,"1,100 to 1,200",May-26
NOMU,HANDY ROAD,09,Non-Landed Properties,2,"4,500",60 to 70,600 to 700,May-26
